"Internal ID","NS
Status","Site Scope","Instruction Date","Project 
ID 
","Site ID","MBNL Site ID","VF Site ID","TEF Site ID","KTL Project Name","Project Comments","Client 
Priority","Drawing Priority/Status","Site Type","Structure Owner","Design Blocker Start","Design Blocked Close","Blocker 
Status","Blocker Owner","Blocker Reason","Blocker Comments","Survey Supplier","Surveyor","Survey 
RAG","Survey 
Revison","Survey Permit 
Number","RAMS
(A)","Survey
(F)","Survey (A)","DRONE SURVEY DATE (F)","Drone Survey (A)","RMSV DATE (F)","RMSV(A)","SURVEY / DESIGN HANDOVER INFORMATION","Survey 
Approved","Survey Uploaded
to Clients Tools","SURVEY INFORMATION COMMENTS","Survey Comments","Survey Blocker Comments","Survey Abort Comments","GA Supplier","GA Instruction 
Type","CAD provided to 
3rd party 
supplier","GA
(F)","GA 
Rev","GA Designer","GA Status","GA Action","GA Design Notes","GA Issued Client (A)","GA Approved Client (A)","GA Issued Operator (A)","GA Approved Operator (A)","DD Supplier","Dependency 
RAG","Dependency
Owner","Remaining Dependencies
(auto updates at 23:00)","Dependency Notes","DD Status","DD Action","DD Design Notes","DD
Rev","Dependency
Clear","DD
(F)","Dependency
(F)","DD Issued Client (A)","DD Designer","DD Approved Client (A)","DD Issued to Operator (A)","DD Approved to Operator (A)"
"29337","Closed","","","12491125","9555o2","","88243vf","9555o2","VF399","VF399","F","","Rooftop","","","","Blocked","Cornerstone","Awaiting CR","25/02/25 BW: Ellie Lowes has confirmed the site has been CR'd out - CR20216","INS Group","INS","","","","F","","","25/12/2024","","25/12/2024","01/01/1900","","F","F","13/08/24 BW: We have been informed that this site has been de commissioned and has a temp replacement under ref 25180vf. Waiting for confirmation the site is going to be CR'D out","","","","","","F","","","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","","","Raashid Patel","","","CR Pending","On Hold","25/02/25 BW: Ellie Lowes has confirmed the site has been CR'd out - CR20216","","F","","","","Ben Watson","","",""
"29338","In Progress","Acquisition & Design","19/06/2024","12070832","123vf","","123vf","","VF399","VF399","T","","Rooftop","","","","","","","","KTL (Internal)","Peter Barrett & Sammy M.","","","","F","04/10/2024","04/10/2024","04/10/2024","25/09/2024","15/10/2024","15/10/2024","","F","F","INS Accepted
07/10/2024-VG-MSV photos received.","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","11/11/24 - RP - Struct dependency clear.
06/11/24 - RP - GDC LV1 to ensure ERS & AIR 5G antennas swaps and are viable structurally. Redlines are saved in Survey Report folder within SP. Ex struct calcs are saved in the Existing Site Details folder.","Approved","1A Approved by VF (Amends at As Built) See  DAF in folder","05/12/24 DA  1A Approved by VF (amends)
20/11/24 DA: 1A Approved by CS (amends)
19/11/24 BW: 1A Issued to CS
19/11/24 - Dep Clear to be issued today
11/11/24 - RP - Struct dependency clear.
05/11/2024(KS) = DD has been instructed. 
15/10/2024 BO: Matt C (CS) to confirm if MiMo swap is also required.","1A","T","20/11/2024","14/11/2024","19/11/2024","Ben Watson","20/11/2024","20/11/2024","05/12/2024"
"29339","In Progress","Acquisition & Design","19/06/2024","12089739","380vf","","380vf","","VF399","VF399","F","","Greenfield","","","","","","","","INS Group","INS","","","","F","01/01/1900","01/01/1900","06/08/2024","06/08/2024","26/09/2024","26/09/2024","","F","F","","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","26/02/25 - RP - Site was issued to VF and dep clear last year? No idea why no comments or deps or notes are avail in NS. I saw this as a ""new site"" until i did my due diligence and saw that we already had a DD issued etc.","Approved","1A approved by VF (Note from CS - Amends at As Build required)","21/10/2024 BW: 1A approved by CS with amends to be picked up at AP stage (see folder for details) 
18/10/2024 BW: 1A issued to CS
17/10/2024 BW: Redline sent to CAD with elec to be added 
14/10/2024 CC: Ok for Oct - Pending Electrical
30/09/2024 BW: 1A instructed to CAD","1A","T","18/10/2024","10/10/2024","18/10/2024","Ben Watson","21/10/2024","21/10/2024","29/10/2024"
"29340","In Progress","Acquisition & Design","19/06/2024","12107031","643o2","","10600vf","","VF399","VF399","T","Green","Greenfield","","","","","","","","KTL (Internal)","Leighton Davis & Sammy M.","","","","F","11/10/2024","11/10/2024","06/01/2025","06/01/2025","23/01/2025","30/01/2025","","F","F","11/10/2024-VG-MSV confirmed as completed. Waiting for photos.","12/09 Drone captured - revisit required with matterport for ground level 360 photos","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Invict","Green","Raashid Patel","","14/3/2025 - RP - Site is dep clear.
07/03/25 - RP - Dep clear pushed out.
04/03/25 BW: SK to confirm antenna heights with VF.
03/03/25 LS: Site with invict - there is a discrepancy between the tower/antenna heights on the VF and ICSS drawings. BW Trying to work out which is correct today.
04/03/25 - RP - ITR Requested, GDC L1 letter of conformity, PASS.
03/03/25 - RP - Have chased Neo for L1 F/C.
25/01/25 - RP - ICSS demand takes lead, have shared the CAD with Invict so they can show ICSS as existing.
25/01/25 - RP - Quote recieved. REQ requested.
25/02/25 - RP - Elec instructed to Invict.
24/02/25 - RP - Radio swap and new ERS, L1 should be fine. Asked Neo for quote. Intergrated costs.","Issued Pending Approval","1A Issued to CS","17/03/25 LS: 1A DD Issued to CS
14/03/25 BW: DD getting final amends. Need to confirm the heights in the 3d model which isn't going to be ready until Monday now 
12/03/25 BW: Going with ICSS DD heights. confirm with drone model on Friday. Will need L1
11/03/25 BW:Antenna heights still need to be confirmed. INS and Skyfab emailed to confirm PANs heights 
10/03/25 BW: Need antenna height confirming. 
04/03/25 BW: SK to confirm antenna heights with VF
03/03/25 BW: SK at CS emailed to confirm tower heights 
03/03/25 LS: Site with invict - there is a discrepancy between the tower/antenna heights on the VF and ICSS drawings. BW Trying to work out which is correct today
10/02/25 - DM - No redlines available","1A","T","17/03/2025","14/03/2025","17/03/2025","Dharmesh Pankhania","01/01/1900","01/01/1900",""
"29341","In Progress","Acquisition & Design","19/06/2024","12107723","659vf","","659vf","","VF399","VF399","T","","Greenfield","","","","","","","","KTL (Internal)","Leighton Davis & Sammy M.","","","","F","08/10/2024","01/10/2024","08/10/2024","08/10/2024","10/10/2024","10/10/2024","","F","F","INS Accepted. 
11/10/24 - Drone survey and ground capture complete. 
01/10/2024-VG-Survey confirmed as completed by Leighton. Waiting for survey and photos.","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","05/12/24 - RP - Site is dep clear.
03/12/24 - RP - Electrical design fail as shows a 3 phase DNO supply and site has a single phase supply.
26/11/24 - RP - ITR Requested. Struct review receieved. Elec calcs (F/C 28th but NS status still ""Not Started"") remain then review and site is dep clear.
22/11/24 - RP - Struct review required once GDC L2 is completed.
14/11/24 - RP - REQ requested. Client cost approval received.
13/11/24 - RP - Pending Client cost approval.
06/11/24 - RP - GDC L2 required for proposed equipment installation.

Work with Ben O to get deps","Approved","1A Approved by VF","11/12/2024 DA: 1A Approved by CS (Amends)

10/12/24 DA:  1A Rejected by CS (BW disputing)
06/12/24 BW: 1A Issued to CS
05/12/24 - RP - Site is dep clear.
03/12/24 - CC - Dep clear due for issue 5/12
19/11(KS) = DD has been requested. 
19/11/24 - Pending instruction to Neo for L2 GDC","1A","T","05/12/2024","05/12/2024","06/12/2024","Ben Watson","11/12/2024","11/12/2024","18/12/2024"
"29342","In Progress","Acquisition & Design","19/06/2024","12123124","944vf","","944vf","","VF399","VF399","F","","Greenfield","","","","","","","","INS Group","INS","","","","F","01/01/1900","01/01/1900","21/08/2024","21/08/2024","30/09/2024","30/09/2024","","F","F","Missing photos of the incoming supply. INS to go back to site and pick this up prior to RMSV","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","03/12/24 - RP - Site is dep clear.
26/11/24 - RP - ITR Requested. Minor struct amends required and elec review. Then site is dep clear.
25/11/24 - RP - Struct review required of GDC. ITR Requested.
22/11/24 - RP - Stuct review required after GDC completion.
14/11/24 - RP - REQ Requested
13/11/24 - RP - Pending Client cost approval.
06/11/24 - RP - GDC L2 required. Quote requested.","Approved","1A approved by VF","18/12/2024:  DA 1A Approved by VF 
04/12/2024 BW: 1A approved by CS. Still waiting for confirmation on the below comment  
04/12/2024: BW. Use of 4 Core approved via design query. see email in folder for details. Waiting for CS to confirm if they want the DD to be amended prior to their checks. 
03/12/24 - RP - Site is dep clear.
29/11/2024 BW: 1A Issued to CS 
19/11(KS) = DD has been requested. 
19/11/24 - Raash to chase the L2 GDC - CAD to be instructed","1A","T","29/11/2024","04/12/2024","29/11/2024","Ben Watson","04/12/2024","04/12/2024","18/12/2024"
"29343","In Progress","Acquisition & Design","19/06/2024","12172330","1791o2","","88271vf","1791o2","VF399","VF399","F","","Greenfield","","","","","","","CS - Approved with Amends for As Built - Note: 562 fibre schedule - the main fibre has been coloured for fibre tails (magenta, should be blue)","INS Group","INS","","","","F","01/01/1900","01/01/1900","29/08/2024","29/08/2024","03/10/2024","03/10/2024","","F","F","","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","03/12/24 - RP - Site is dep clear.
26/11/24 - RP - Struct and elec review required then dep clear site.
26/11/24 - GDC Pass. ITR Requested.
22/11/24 - RP - DD sent ot Neo. Tickets streamlined.
18/11/24 - RP - PO Requested. Client approval received.
14/11/24 - RP - Trylon cannot proceed wihtout L3. Have requested Trust and Neo for a quote and if acheivable.
06/11/24 - RP - GDC quote requested from Trylon. LV2 required.","Approved","1A Approved by VF","05/12/24 DA: 1A Approved by VF 
03/12/24 - RP - Site is dep clear.
27/11/24 DA: 1A Approved by CS (Amends)
26/11/24 BW: 1A Issued to CS
19/11(KS) = DD has been requested.
19/11/24 - Raash to chase Neo for GDC
03/10/2024 BW: Bearings to be confirmed. Check if L1 GDC can be completed","1A","T","29/11/2024","04/12/2024","26/11/2024","Ben Watson","27/11/2024","27/11/2024","05/12/2024"
"29344","In Progress","Acquisition & Design","19/06/2024","12172527","1795o2","","88272vf","1795o2","VF399","VF399","F","","Greenfield","","","","","","","","INS Group","INS","","","","F","01/01/1900","01/01/1900","26/09/2024","09/09/2024","23/09/2024","23/09/2024","","F","F","","","","","Emfyser","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","25/11 - CC - Site Dep Clear - Ready for DD issue
11/11/24 - RP - Struct dependency clear. Elec to be instructed once DD completed.
06/11/24 - Struct review WIP.
06/11/24 - RP - GDC already instructed by Corina, chased Neo for a F/C date and added the GDC task within their tracker.","Approved","1A VF Approved","18/02/2025 BW: Query regarding elec from VF. Passed on to Leon to review 
05/12/24: DA: 1A Approved by VF
28/11/24 DA: 1A Approved by CS (Amends) - Ancillary RF schedule is missing the L23 filters - ensure they are caught at Gating, schematics are correct
ERS2212 in the RBS will be moved to the VARI and the L8 RUS will remain in the RBS, the allocated RF schedule has this the wrong way round
25/11/24 BW: 1A Issued to CS
25/11/24 - CC - BW to issue DD
19/11/24 - Pending Elect due today - on track for DD issue 21/11
11/11/24 - RP - Struct dependency clear. Elec to be instructed once DD completed.
15/10/2024 CC: Ok for Oct - Pending L2 GDC, Elect and DD instruction","1A","T","26/11/2024","11/11/2024","25/11/2024","Ben Watson","27/11/2024","27/11/2024","05/12/2024"
"29345","In Progress","Acquisition & Design","19/06/2024","12212233","3037vf","","3037vf","","VF399","VF399","F","","Greenfield","","","","Cleared","CS/VF RP","ICNIRP","16/10/24. Antenna tilts confirmed 
27/09/24 BW: ICNIRP review held with Paul C. Need to confirm existing tilts before moving forward. Garry Reese (VF RP) Emailed","INS Group","INS","","","","F","01/01/1900","01/01/1900","30/08/2024","30/08/2024","23/09/2024","23/09/2024","","F","F","","New Roxtec","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","26/02/25 - RP - Site was issued to VF and dep clear last year? No idea why no comments or deps or notes are avail in NS. I saw this as a ""new site"" until i did my due diligence and saw that we already had a DD issued etc.","Approved","1A Approved by VF (Amends at AB required, Identified by CS)","1A Approved by VF (Amends at AB required, Identified by CS)
31/10/24 DA: 1A Approved by CS  (Amends at AB required)
30/10/24 BW: 1A Issued to CS 
16/10/2024 BW: L1 instructed to Lukasz. DD instructed to CAD
16/10/24 antenna tilts confirmed, deps and DD to be instructed 
27/09/24 BW: ICNIRP review held with Paul C. Need to confirm existing tilts before moving forward. Garry Reese (VF RP) Emailed","1A","T","31/10/2024","10/10/2024","30/10/2024","Ben Watson","31/10/2024","31/10/2024","06/11/2024"
"29346","In Progress","Acquisition & Design","19/06/2024","12269324","3887o2","","88282vf","3887o2","VF399","VF399","F","","Greenfield","","","","","","","","INS Group","INS","","","","F","01/01/1900","01/01/1900","25/09/2024","09/09/2024","23/09/2024","23/09/2024","","F","F","","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","19/12/24 - RP - Site is Dep Clear. GDC L1 needs uploading to CS as per Lukasz NS comments
18/12/24 DA : 1A Approved by CS
18/12/24 - RP - Struct review of GDC required. Srtuct calcs and foundation required also?
16/12/24 - RP - GDC receieved. ITR Requested.
26/11/24 - RP - Client approval receieved.
22/11/24 - RP - GDC Forecasted for Dec, Struct review required once completed.
20/11/24 - RP - Redlines receieved. Sent to Swann for GDC quote.
19/11/24 - RP - Redlines needed from BW to instruct DTC order form.
04/11/24 - RP - Deps identified and tickets raised.
Work with Ben O to get deps","Approved","1A Approved by VF","09/01/25 DA:  1A Approved by VF
18/12/24 DA :  1A Approved by CS
18/12/24 BW: 1A Issued to CS
05/12(KS) - DD has been instructed. 
03/12/24 - CC -  Swann GDC due 19/12 RP chased for sooner
19/11/24 - L2 GDC to progressed","1A","T","20/12/2024","18/12/2024","18/12/2024","Ben Watson","18/12/2024","18/12/2024","09/01/2025"
"29347","In Progress","Acquisition & Design","19/06/2024","12300523","4363vf","","4363vf","","VF399","VF399","F","","Greenfield","","","","","","","","INS Group","INS","","","","F","01/01/1900","01/01/1900","30/08/2024","28/08/2024","19/09/2024","19/09/2024","Passive works - DNO Isolator","F","F","","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","14/11/24 - RP - Elec review passed. Site is Dep Clear.
14/11/24 - RP - Chased DH for elec review.
11/11/24 - RP - Struct dependency clear.
06/11/24 - RP - Struct review WIP.","Approved","1A Approved by VF","25/11/24 DA:  1A Approved by VF
18/11/2024 DA: 1A Approved by CS
15/11/2024 BW: 1A Issued to CS
13/11/24 BW: DD redline sent to CAD to add in elec
05/11/2024(KS) = DD has been instructed. 
14/10/2024 CC: Ok for Oct - Pending L2 GDC
02/10/2024 BW: GDC cost approval email in site folder","1A","T","15/11/2024","14/11/2024","15/11/2024","Ben Watson","18/11/2024","18/11/2024","25/11/2024"
"29348","In Progress","Acquisition & Design","19/06/2024","12340727","5373vf","","5373vf","","VF399","VF399","T","Green","Greenfield","","","","","","","","INS Group","INS","","","","F","01/01/1900","01/01/1900","08/01/2025","08/01/2025","30/01/2025","30/01/2025","","F","F","","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","28/2/2025 - Site is dep clear.
26/02/25 - RP - Rothwell requested remote Meter Cabinet photos inside and the distance to site for the MC.
20/02/25 - RP - GDC L2 PASS. Base plate not grouted but loadings are low so no real concerns. Foundation needs to be around 0.5m deep for overturning - base depth check NOT required. 0.7m assumed depth is okay.
14/02/25 - RP - ITR Requested. GDC receieved, PASS. Struct review required.
10/02/25 - RP - Quote recieved. REQ requested.
07/02/25 - RP - GDC L2 quote requested from Neo and cost approval already recieved from CS.","Approved","1A Issued to CS","06/03/25 LS: 1A DD Approved by VF
04/03/25 LS: 1A DD Approved by CS
28/02/25 BW: 1A Issued to CS
28/2/25 CVB DD Rev 1A Received
27/02/25: Redlines and elec sent to CAD. Elec review needed 
25/02/25 BW: Remote meter cab not opened. Needs elec survey or INS to go back to site 
20/02/25: GDC back and a PASS just waiting on elec 
12/02/25 BW: Elec instructed to Rothwell 
12/2/25 CVB DD Rev 1A Received
10/02/25(KS) = DD has been instructed.
10/02/25 - DM - GDC due back 13/02, Elec and CAD to be instructed.","1A","T","07/03/2025","28/02/2025","28/02/2025","Ben Watson","04/03/2025","04/03/2025","06/03/2025"
"29349","In Progress","Acquisition & Design","19/06/2024","12391701","6587o2","","88285vf","6587o2","VF399","VF399","F","","Greenfield","","30/01/2025","","Cleared","Cornerstone","Build Issue","18/02/2025 BW: Site no longer being aborted. DD needs to be progressed as a matter of urgency so NWR telecoms clearance can be progressed 
Pending CR from CS to be removed from programme

30/01/2025 BO: BAPA required for nearby railway prior to build works, likely to push site build date beyond March '25 therefore CS to confirm if CR out.","INS Group","INS","","","","F","01/01/1900","01/01/1900","11/01/2025","11/01/2025","23/01/2025","30/01/2025","","F","F","10/11/12 - INS confirmed DS complete.","30/01/2025 BO: Design Capture didn't not save correctly during RMSV, notes missing: Cabinet works both RBS to be half-converted for ERS support. BAPA required prior to build works due to nearby railway. 2260 ERS and 2212 ERS required.","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Amber","Raashid Patel","011 GDC L2,026 Structural Calcs","18/03/25 - RP - GDC L2 recieved, PASS. Struct review required along with calcs. Can occur in unison.
13/03/25 - RP - Swann had a query whcih reset the FC and now its end of next week.
06/03/25 - RP - Swann stated they didnt see the instruction email to proceed, but will proceed now. Have asked to speed it up.
27/02/25 - RP - Swann quote recieved. REQ requested.
26/02/25 - RP - Filled out GDC order form and sent to Swann, request for quote sent and cost approval already received.	
26/02/25 - RP - Fill out GDC order form and sent to Swann, request for quote and cost approval.
26/02/25 - RP - Awaiting redlines. Now saved within.
24/02/25 - RP - Query BO redlines and CR status? Does site need a RMSV completing?
30/01/2025 BO: Do not progress Deps until confirmed by CS, site to be CR'ed out of project.","Second Check","DD Est 18/03. Swann GDC due back 14th and Elecs 17th.","12/03/25 BW: DD back, waiting for elec review and GDC. Swann queries answered and asked them to confirm 14/03 FC. ASC required. RP to instruct 
12/03/25 VW - Amended DD REV 1A received.
11/03/25 BW: Redline and DD sent to CAD. GDC due 14/03 
10/03/25 BW:Elec moved to 11/03
04/03/25 BW: DH has instructed elec to Nick on the 17/03. GDC due 14/03
28/2/25 CVB DD Rev 1A Received
26/02(KS)= DD has been instructed.
24/02/25 BW: KS to instruct to Emfyser
18/02/2025 BW: Site no longer being aborted. DD needs to be progressed as a matter of urgency so NWR telecoms clearance can be progressed 
Pending CR from CS to be removed from programme
30/01/2025 BO: Design Capture didn't not save correctly during RMSV, notes missing: Cabinet works both RBS to be half-converted for ERS support. BAPA required prior to build works due to nearby railway. 2260 ERS and 2212 ERS required.","1A","F","01/04/2025","21/03/2025","","Khurram Shahzad","01/01/1900","01/01/1900",""
"29350","In Progress","Acquisition & Design","19/06/2024","12491327","9556o2","","88242vf","9556o2","VF399","VF399","F","","Greenfield","","","","Cleared","CS","Project Clash","03/12/24 - CC - Question on parallel demand, chased CS 3/12","INS Group","INS","","","","F","01/01/1900","01/01/1900","30/08/2024","30/08/2024","23/09/2024","23/09/2024","","F","F","","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","12/02/25 - RP - Site is dep clear.
10/02/2025 - RP - Elec redesign required to show 3No. DC BOBs and 3No. DC Cables. FC pushed to 11th.
05/02/25 - RP - Site should be dep clear tomorrow if not today. Elec F/C today. Does it need an internal elec review?
04/02/25 - RP - ITR requested, GDC L1 receieved. PASS.
03/02/25 - RP - FC recieved for 6th GDC L1. Elec calcs need instructing.
30/01/25 - RP - GDC L1 quote receieved. REQ Requested.
28/01/25 - RP - GDC L1 instructed and requetsed for quote. No CS approval required, intergrated costs.
27/01/25 - RP - GDC L1 to be instructed to Neo asap!
23/01/2025 - RP - GDC QA PASS. Foundation check included in GDC.
Needs internal GDC L1 to cover reused antenna poles on Zbrackets, RRU fixing to leg and any ground level installations. To be progressed once we have DD dwg completed. 
22/01/25 - RP - Struct review F/C tmrw. Actions required after results.
17/01/25 - RP - GDC recieved, PASS, ITR requested. Struct review required. Do we need foundation and struct calcs?
16/01/25 - RP - Provided extra to photos to Swann and chased F/C.
09/01/25 - RP - GDC Order form sent to Swann, requested a F/C date to be provided.
12/12/24 - RP - REQ Requested. GDC Order form has been completed but needs checking by BW before we send to Swann.
20/11/24 - RP - Redline received. Sent to Neo for GDC l2 quote.
16/11/24 - RP - Swann to be sent GDC but we dont have a redline on file yet? BW to action on 18th. GDC quote request to be sent once we have full redline.
04/11/24 - RP - Deps identified and tickets created. BW to confrim DD FC date (2020).


Work with Ben O to get deps","Approved","1A DD Approved with Amend","12/02/2025 LS: 1A Approved with amends at ASB
11/02/2025 BW: 1A Issued to CS
11/02/2025 BW: ELec design updated and sent to CAD with redlines
10/02/2025. Elec design needs updating, Leon will do today. Redlines complete waiting for elec.
07/02/25 - DM - Chased Dave H for support on completion
05.02.25 BW: Elec outstanding FC 05/02 (Leon) 
03/02/25 CC - On track for 07/02/25
29/01/25 VW - DD REV 1A received.
27/01/25(KS) = DD has been instructed. 
27/01/25 DM: GDC L1 required via Neo F/C 03/02. Elec Calcs required via Rothwell.  
03/12/24 - CC - Question on parallel demand, chased CS 3/12
19/11/24 - Swann GDC - Dec site","1A","T","07/02/2025","12/02/2025","11/02/2025","Ben Watson","12/02/2025","12/02/2025","12/02/2025"
"29351","In Progress","Acquisition & Design","19/06/2024","12624103","15961o2","","85251vf","15961o2","VF399","VF399","F","","Streetworks","","24/01/2025","29/01/2025","Cleared","CS/VF","Design Issue","24/01/25 - DM - Elec schema requested from Vodafone. 2 Day impact to timeline once cleared.","INS Group","INS","","","","F","01/01/1900","01/01/1900","27/08/2024","27/08/2024","19/09/2024","19/09/2024","Passive works - Shroud swap, Derby plus root and new ducts","F","F","","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","29/01/25 - Site is dep clear.
29/01/25 BW: Redline and elec sent to CAD. still pending elec review
27/01/2025 BW: Elec schematic received from VF and sent to Rothwells. waiting for feedback
23/01/25 BW: ICD schematic requested from CS/VF for 6201 elec upgrade.
27/01/25 - RP - BW chased CS regarding 6102 to ERS issue. We have got the info from VF and it's been sent over to him.
24/01/25 - We are waiting for VF to provide some electrical details for the site. Rothwells have queried the design saying 6102 can not be have converted for ERS as per the design agreed at RMSV. We can't find anything to support this so BW has queried with Cornerstone.
16/01/25 - RP - Struct review PASS. Older schedule antenna models used. If change needed, then can cover with internal statement. Elec calcs required then site is dep clear. DD instructed wihtout CAD so may take slightly longer.
08/01/25 - RP - DTC Received. PASS. Elec and Struct review required then site Dep Clear.
19/12/24 - RP - PO raised, F/C 30 working days for DTC.
16/12/24 - RP - ITR Requested. ITR ahead of GDC delivery, Hutchinson don’t release unless ITR’d prior.
19/11/24 - RP - Hutch quote received. REQ requested.
18/11/24 - RP - Client approval received but still awaiting Hutch to provide quote.
16/11/24 - RP - Emma at Hutch pushed back on GDC request. Reece stepped in and responded on email. Awaiting Hutch response.
14/11/24 - RP - DTC quote cancelled from Hutch. Requsted quote for 'GDC'. Requested quote from Matt Collis for GDC L2.
07/11/24 - RP - Cost approval requsted from Matt Collis for L2 GDC.
07/11/24 - RP - Hutch responded with root confirmation and provided S-Range pole specs. Antenna specs not provided.
06/11/24 - RP - DTC required for this pole swap. Sent to Hutch for quote.","Approved","1A DD Approved by VF","07/02/25 LS: 1A DD Approved by VF, DAF Received
30/01/25 LS: DD approved by CS
30/01/25 BW: 1A issued to CS
29/01/25 BW: Redline and elec sent to CAD. still pending elec review
27/01/2025 BW: Elec schematic received from VF and sent to Rothwells. waiting for feedback
23/01/25 BW: ICD schematic requested from CS/VF for 6201 elec upgrade
22/01/25 BW: Rothwells have queried the design saying 6102 can not be have converted for ERS as per the design agreed at RMSV. I can't find anything to support this so I have queried with Cornerstone. 
20/01/25 - DM - Elec Required, CC trying to replan resource. DD at Risk for 24/01.
20/01/25 BW: CAD back 
16/01/25 SI: DD instructed without CAD file.
08/01/25 BW: DTC due back this week 
03/12/24 - CC - Pending DTC FC RP chased 03/12
19/11/24 - Pending Hutch DTC","1A","T","31/01/2025","29/01/2025","30/01/2025","Ben Watson","30/01/2025","30/01/2025","07/02/2025"
"29352","In Progress","Acquisition & Design","19/06/2024","12680024","22411vf","","22411vf","","VF399","VF399","F","","Streetworks","","","","","","","","INS Group","INS","","","","F","01/01/1900","01/01/1900","12/08/2024","12/08/2024","16/09/2024","16/09/2024","","F","F","","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","26/02/25 - RP - Site was issued to VF and dep clear last year? No idea why no comments or deps or notes are avail in NS. I saw this as a ""new site"" until i did my due diligence and saw that we already had a DD issued etc.","Approved","1A approved by VF","11/11/2024 DA: 1A approved by VF
31/10/2024 BW: 1A approved by CS 
30/10/2024 BW: 1A Issued to CS
24/10/24 BW: ITR required for DTC release. DD instructed 
14/10/2024 CC: Ok for Oct - Pending DTC from Hutch
14/10/24 BW: DTC forecast week commencing 21/10","1A","T","31/10/2024","10/10/2024","30/10/2024","Ben Watson","31/10/2024","31/10/2024","11/11/2024"
"29353","In Progress","Acquisition & Design","19/06/2024","12680224","22414vf","","22414vf","","VF399","VF399","F","","Streetworks","","","","Cleared","","","","INS Group","INS","","","","F","01/01/1900","01/01/1900","12/08/2024","12/08/2024","21/10/2024","21/10/2024","","F","F","","","","","","","F","01/01/2020","A","","Approved","","","01/01/2020","01/01/2020","01/01/2020","01/01/2020","Emfyser","Green","Raashid Patel","","10/02/25 - RP - Site is dep clear.
04.01.25 BW: Rothwell instructed, FC 11th.
29/01/25 - RP - DTC receieved. PASS. No Struct Review requires. Only Elec calcs awaiting.
27/01/25 - RP - Chased Hutch for delivery today.
21/01/25 - RP - DTC seems completed but awaiting completion still, FC 27th. Hutch require ITR before delivery. Elec requires instructing soon as DTC comes in.
15/01/25 - RP - Hutch queried antenna arrangement, responded Remove and replace existing 540mm single stack shrouded headframe for proposed 580mm dual stack shrouded headframe on existing pole. ITR requested as Hutch require this before they release DTC.
24/12/24 - RP - Quote recieved. ITR Requested.
04/12/24 - RP - DTC quote requested and form provided. Intergrated Costs.
21/10/2024 BO: Desktop Check for existing structure and headframe upgrade required.","Approved","1A Approved by VF","14/02/25 LS: 1A Approved by VF with amends at ASB
13/02/25 LS: DD Approved by CS
07/02/25 BW: 1A Issued to CS
06.02.25 BW: Redline and elec sent to CAD. NEed to add STATS in. Elec review still pending 
04.02.25 BW: Elec instructed to Rothwell
03/02/25 - CC - On track for Feb
23/01/2025: BW. ICNIRP to be assessed using VM2 as per Ben O comments below (31/10)
22/01/2025(KS)= DD has been instructed.
03/12/24 - CC - Chased CS for INCIRP site visit, on hold
20/11(ks) = DD has been instructed. 
19/11/24 - Requires CS visit ICNIRP - ON HOLD
21/10/2024 BO: ICNIRP Fail on all sectors at MULTI v1 to be reviewed with Paul C - assess using VM2?
31/10/2024 BO: Review with Paul C proceed at VM2-SF.","1A","T","17/02/2025","10/02/2025","07/02/2025","Ben Watson","13/02/2025","13/02/2025","14/02/2025"
